,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0
Framboise,49,51,54,57,59,58,58,59,61,60,60,57,55,48,43,43,37,34,29,30,31,40,49,49,49,49,0,0,0,0,0,44,44,44,44,45,44,48,45,45,46,42,42,42,41,42,42,46,48,51,51,45,52,49,51,54,57,59,58,58,59,61,60,60,57,55,48,43,43,37,34,29,30,31,40,49,49,49,49,0,0,0,0,0,44,44,44,44,45,44
Mure,75,75,75,74,74,68,53,45,56,59,62,65,65,58,58,59,57,51,51,36,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68,69,67,60,60,77,66,77,71,74,76,55,65,70,71,73,75,75,75,75,74,74,68,53,45,56,59,62,65,65,58,58,59,57,51,51,36,38,18,0,0,0,0,0,0,0,0,0,0,0,0,0,70,68
